N,Case,BDS Size,SCBDS Size,ARPL,Max Ratio
100,1,23,70,5.434040404040404,3.0
100,2,21,69,4.897777777777778,2.0
100,3,22,77,4.973535353535354,2.0
100,4,19,66,4.94989898989899,2.0
100,5,22,71,5.406161616161616,2.0
100,6,20,72,4.966666666666667,2.0
100,7,22,83,4.670808080808081,2.0
100,8,22,77,4.86,2.0
100,9,20,77,4.691717171717172,2.0
100,10,19,69,4.692424242424242,2.0
100,11,22,78,5.278888888888889,2.0
100,12,20,66,4.568484848484848,2.0
100,13,17,66,5.213636363636364,2.0
100,14,21,73,4.512020202020202,2.0
100,15,21,70,4.485454545454545,2.0
100,16,18,71,4.24979797979798,2.0
100,17,21,81,4.733030303030303,2.0
100,18,21,81,4.507575757575758,2.0
100,19,19,75,4.647070707070707,2.0
100,20,17,68,4.50939393939394,3.0
100,21,21,73,5.001313131313132,2.0
100,22,21,75,4.7140404040404045,2.0
100,23,19,67,4.837070707070707,2.0
100,24,20,76,5.224646464646464,2.0
100,25,20,77,4.246666666666667,2.0
100,26,22,77,4.996161616161616,2.0
100,27,22,83,4.832929292929293,2.0
100,28,23,75,4.986969696969697,3.0
100,29,20,70,4.926262626262626,3.0
100,30,26,85,4.378989898989899,2.0
100,31,21,76,4.806161616161616,2.0
100,32,22,81,4.474444444444444,2.0
100,33,20,69,4.298181818181818,2.0
100,34,20,67,4.763939393939394,2.0
100,35,22,85,4.522222222222222,3.0
100,36,23,86,4.344444444444444,2.0
100,37,19,77,4.147070707070707,2.0
100,38,21,72,5.253636363636364,2.0
100,39,22,73,4.978080808080808,2.0
100,40,25,85,4.357070707070707,2.0
100,41,22,83,4.693636363636363,2.0
100,42,21,69,4.720606060606061,2.0
100,43,21,75,4.59959595959596,2.0
100,44,18,66,4.548181818181818,2.0
100,45,19,64,4.909090909090909,2.0
100,46,20,79,4.6734343434343435,2.0
100,47,20,72,4.810808080808081,2.0
100,48,22,75,4.886060606060606,2.0
100,49,22,80,4.7991919191919195,2.0
100,50,18,66,4.6036363636363635,2.0
100,51,22,68,5.9366666666666665,2.0
100,52,21,78,4.756666666666667,2.0
100,53,24,76,4.9751515151515155,2.0
100,54,21,67,4.792727272727273,2.0
100,55,22,79,4.400505050505051,2.0
100,56,23,82,4.422929292929293,2.0
100,57,22,79,4.808080808080808,2.0
100,58,24,83,4.610909090909091,2.0
100,59,25,83,4.63050505050505,2.0
100,60,24,86,4.524242424242424,2.0
100,61,22,69,5.3373737373737375,2.0
100,62,21,73,4.798181818181818,2.0
100,63,21,77,4.9818181818181815,2.0
100,64,19,63,4.588080808080808,2.0
100,65,20,76,4.826161616161616,2.0
100,66,25,80,5.143535353535354,2.0
100,67,21,69,4.785454545454545,2.0
100,68,22,83,4.613131313131313,2.0
100,69,21,78,5.0470707070707075,2.0
100,70,22,75,4.501717171717171,2.0
100,71,24,77,4.931818181818182,2.0
100,72,21,72,4.603131313131313,2.0
100,73,21,73,5.59969696969697,2.0
100,74,21,69,5.676666666666667,2.0
100,75,21,71,4.5482828282828285,2.0
100,76,20,76,4.786464646464647,2.0
100,77,21,78,4.300303030303031,2.0
100,78,19,76,4.768787878787879,2.0
100,79,20,72,5.71010101010101,2.0
100,80,21,83,4.288080808080808,2.0
100,81,23,72,4.7724242424242425,2.0
100,82,20,72,5.057070707070707,2.0
100,83,19,72,4.513434343434343,2.0
100,84,18,60,5.926262626262626,2.0
100,85,20,79,4.769191919191919,2.0
100,86,23,86,4.405959595959596,2.0
100,87,20,71,4.322323232323233,2.0
100,88,21,75,4.612626262626263,2.0
100,89,23,79,4.855555555555555,2.0
100,90,22,69,5.89979797979798,2.0
100,91,20,75,4.473838383838384,2.0
100,92,21,67,5.105252525252525,2.0
100,93,20,75,4.604343434343434,4.0
100,94,20,71,4.547272727272727,2.0
100,95,22,77,4.724848484848485,2.0
100,96,21,68,5.008989898989899,2.0
100,97,24,83,4.428383838383838,2.0
100,98,21,74,4.582121212121212,2.0
100,99,20,69,4.51,2.0
