N,Case,BDS Size,SCBDS Size,ARPL,Max Ratio
100,1,23,56,5.457777777777777,4.0
100,2,21,54,4.906666666666666,2.0
100,3,22,57,4.993434343434344,2.0
100,4,19,51,4.96010101010101,2.0
100,5,22,55,5.53,2.0
100,6,20,54,5.025050505050505,2.0
100,7,22,57,4.689191919191919,2.0
100,8,22,60,4.897474747474748,2.0
100,9,20,56,4.751818181818182,2.0
100,10,19,54,4.735555555555556,2.0
100,11,22,57,5.3548484848484845,2.0
100,12,20,58,4.624646464646465,3.0
100,13,17,48,5.270505050505051,2.0
100,14,21,61,4.530909090909091,2.0
100,15,21,56,4.537979797979798,3.0
100,16,18,57,4.296262626262626,2.0
100,17,21,60,4.791919191919192,3.0
100,18,21,60,4.584444444444444,4.0
100,19,19,53,4.71020202020202,2.0
100,20,17,55,4.545454545454546,3.0
100,21,21,56,5.107575757575757,3.0
100,22,21,56,4.761717171717172,2.0
100,23,19,48,4.918686868686868,3.0
100,24,20,56,5.267777777777778,2.0
100,25,20,56,4.291717171717171,2.0
100,26,22,56,5.028686868686869,2.0
100,27,22,65,4.857474747474748,2.0
100,28,23,64,5.006060606060606,3.0
100,29,20,53,5.002525252525253,3.0
100,30,26,69,4.4102020202020205,2.0
100,31,21,57,4.875050505050505,2.0
100,32,22,63,4.494343434343435,2.0
100,33,20,52,4.392020202020202,4.0
100,34,20,54,4.77949494949495,2.0
100,35,22,66,4.542323232323232,3.0
100,36,23,65,4.381414141414141,2.0
100,37,19,58,4.191111111111111,2.0
100,38,21,55,5.336969696969697,2.0
100,39,22,53,5.054343434343434,3.0
100,40,25,64,4.391212121212122,4.0
100,41,22,65,4.716868686868687,2.0
100,42,21,54,4.751616161616162,3.0
100,43,21,57,4.630909090909091,2.0
100,44,18,45,4.598181818181819,2.0
100,45,19,48,4.947979797979798,2.0
100,46,20,54,4.711515151515152,2.0
100,47,20,60,4.81979797979798,2.0
100,48,22,53,4.930909090909091,2.0
100,49,22,60,4.947878787878788,3.0
100,50,18,48,4.65040404040404,2.0
100,51,22,56,6.056363636363637,2.0
100,52,21,56,4.802525252525252,2.0
100,53,24,63,5.002727272727273,2.0
100,54,21,52,4.8837373737373735,2.0
100,55,22,67,4.430909090909091,2.0
100,56,23,66,4.485454545454545,2.0
100,57,22,63,4.868585858585859,2.0
100,58,24,64,4.643636363636364,2.0
100,59,25,68,4.647474747474748,2.0
100,60,24,67,4.575858585858586,2.0
100,61,22,62,5.354747474747475,2.0
100,62,21,57,4.825454545454545,2.0
100,63,21,53,4.997979797979798,2.0
100,64,19,52,4.595353535353535,2.0
