N,Case,BDS Size,SCBDS Size,ARPL,Max Ratio
100,1,23,63,5.452020202020202,4.0
100,2,21,61,4.904545454545454,2.0
100,3,22,69,4.984747474747475,2.0
100,4,19,58,4.971313131313131,2.0
100,5,22,64,5.49989898989899,2.0
100,6,20,68,4.972222222222222,2.0
100,7,22,70,4.676868686868687,2.0
100,8,22,69,4.886161616161616,2.0
100,9,20,65,4.72010101010101,2.0
100,10,19,62,4.708181818181818,2.0
100,11,22,66,5.324343434343434,2.0
100,12,20,59,4.585050505050505,2.0
100,13,17,57,5.23979797979798,2.0
100,14,21,68,4.518787878787879,2.0
100,15,21,66,4.502424242424242,2.0
100,16,18,63,4.266262626262626,2.0
100,17,21,74,4.754444444444444,2.0
100,18,21,72,4.511919191919192,2.0
100,19,19,68,4.684040404040404,2.0
100,20,17,60,4.523333333333333,3.0
100,21,21,63,5.091515151515152,3.0
100,22,21,66,4.722121212121212,2.0
100,23,19,60,4.904343434343434,3.0
100,24,20,68,5.2835353535353535,2.0
100,25,20,70,4.281010101010101,2.0
100,26,22,69,5.00050505050505,2.0
100,27,22,78,4.834444444444444,2.0
100,28,23,66,4.996060606060606,3.0
100,29,20,60,4.974444444444444,3.0
100,30,26,82,4.39010101010101,2.0
100,31,21,70,4.83989898989899,2.0
100,32,22,74,4.4784848484848485,2.0
100,33,20,66,4.298181818181818,2.0
100,34,20,60,4.772525252525252,2.0
100,35,22,78,4.536363636363636,3.0
100,36,23,77,4.366767676767677,2.0
100,37,19,71,4.147373737373737,2.0
100,38,21,67,5.295656565656565,2.0
100,39,22,63,5.010303030303031,3.0
100,40,25,76,4.364949494949495,2.0
100,41,22,76,4.722424242424243,2.0
100,42,21,60,4.751818181818182,2.0
100,43,21,65,4.623636363636364,2.0
100,44,18,61,4.5618181818181816,2.0
100,45,19,57,4.919292929292929,2.0
100,46,20,69,4.683434343434343,2.0
100,47,20,65,4.816161616161616,2.0
100,48,22,67,4.89010101010101,2.0
100,49,22,68,4.94030303030303,3.0
100,50,18,58,4.6346464646464645,2.0
100,51,22,63,5.947373737373737,2.0
100,52,21,69,4.787373737373738,2.0
100,53,24,71,4.975959595959596,2.0
100,54,21,62,4.828787878787879,2.0
100,55,22,74,4.425151515151515,2.0
100,56,23,76,4.4234343434343435,2.0
100,57,22,74,4.821515151515151,2.0
100,58,24,77,4.6183838383838385,2.0
100,59,25,76,4.633838383838384,2.0
100,60,24,79,4.548787878787879,2.0
100,61,22,68,5.338989898989899,2.0
100,62,21,66,4.80989898989899,2.0
100,63,21,71,4.982222222222222,2.0
100,64,19,58,4.593636363636364,2.0
100,65,20,68,4.857070707070707,2.0
100,66,25,72,5.1734343434343435,2.0
100,67,21,65,4.78969696969697,2.0
100,68,22,73,4.6442424242424245,3.0
100,69,21,68,5.108383838383839,2.0
100,70,22,66,4.57040404040404,2.0
100,71,24,71,4.935252525252525,3.0
100,72,21,67,4.609090909090909,2.0
100,73,21,65,5.635555555555555,2.0
100,74,21,63,5.704040404040404,2.0
100,75,21,65,4.570808080808081,2.0
100,76,20,71,4.793131313131313,2.0
100,77,21,71,4.303535353535353,2.0
100,78,19,66,4.771111111111111,2.0
100,79,20,63,5.79080808080808,2.0
100,80,21,80,4.293333333333333,2.0
100,81,23,66,4.792323232323232,2.0
100,82,20,64,5.125959595959596,3.0
100,83,19,65,4.513737373737373,2.0
100,84,18,55,5.926363636363637,2.0
100,85,20,66,4.791717171717171,2.0
100,86,23,77,4.438585858585858,2.0
100,87,20,59,4.333535353535353,2.0
100,88,21,68,4.638888888888889,2.0
100,89,23,70,4.876363636363636,2.0
100,90,22,67,5.903838383838384,2.0
100,91,20,67,4.483737373737374,2.0
100,92,21,63,5.116060606060606,2.0
100,93,20,68,4.626767676767677,4.0
100,94,20,63,4.575151515151515,2.0
100,95,22,73,4.724848484848485,2.0
100,96,21,61,5.046767676767677,2.0
100,97,24,76,4.460909090909091,2.0
100,98,21,71,4.586969696969697,2.0
100,99,20,66,4.51010101010101,2.0
100,100,20,60,5.920606060606061,2.0
150,1,24,106,4.415212527964206,2.0
150,2,24,105,4.158165548098434,2.0
150,3,22,82,4.53923937360179,2.0
150,4,24,91,4.444519015659956,3.0
150,5,21,85,4.369395973154362,2.0
150,6,23,88,4.401029082774049,3.0
150,7,20,80,4.401252796420581,2.0
150,8,27,107,4.435659955257271,2.0
150,9,23,97,4.357807606263982,2.0
150,10,25,100,4.290917225950783,2.0
150,11,22,90,4.323266219239374,3.0
150,12,20,86,4.258747203579419,2.0
150,13,26,93,4.576107382550336,2.0
150,14,24,89,4.532348993288591,2.0
150,15,24,83,4.355480984340045,2.0
150,16,23,91,4.315883668903803,2.0
150,17,23,92,4.41592841163311,2.0
150,18,26,99,4.359060402684563,2.0
150,19,24,95,4.36331096196868,2.0
150,20,24,98,4.47986577181208,2.0
150,21,24,99,4.204474272930649,2.0
150,22,23,93,4.485816554809843,2.0
150,23,25,95,4.617718120805369,2.0
150,24,26,97,4.309977628635346,2.0
150,25,22,85,4.460536912751678,2.0
150,26,22,86,4.353109619686801,2.0
150,27,22,83,4.535391498881432,2.0
150,28,21,86,4.547427293064877,2.0
150,29,21,84,4.401521252796421,2.0
150,30,26,103,4.230425055928412,2.0
150,31,25,91,4.662774049217003,2.0
150,32,19,78,4.448456375838926,2.0
150,33,21,85,4.624026845637584,2.0
150,34,23,82,4.269127516778523,2.0
