N,Case,BDS Size,SCBDS Size,ARPL,Max Ratio
100,1,10,29,2.1729292929292927,2.0
100,2,9,22,2.2884848484848486,2.0
100,3,8,24,2.199090909090909,2.0
100,4,7,18,2.2355555555555555,2.0
100,5,9,20,2.1124242424242423,2.0
100,6,8,18,2.2555555555555555,2.0
100,7,8,20,2.1606060606060606,2.0
100,8,9,25,2.1401010101010103,2.0
100,9,8,18,2.26989898989899,2.0
100,10,7,20,2.3254545454545457,2.0
100,11,8,21,2.152020202020202,2.0
100,12,9,19,2.2137373737373736,2.0
100,13,10,31,2.139393939393939,2.0
100,14,9,24,2.144747474747475,2.0
100,15,10,32,2.1258585858585857,2.0
100,16,8,21,2.1752525252525254,2.0
100,17,7,20,2.214949494949495,2.0
100,18,8,21,2.282828282828283,2.0
100,19,9,27,2.137979797979798,2.0
100,20,9,20,2.1373737373737374,2.0
100,21,7,18,2.103030303030303,2.0
100,22,7,18,2.2816161616161614,3.0
100,23,9,24,2.2053535353535354,2.0
100,24,9,32,2.2385858585858585,2.0
100,25,8,24,2.1506060606060604,2.0
100,26,9,22,2.244040404040404,2.0
100,27,9,22,2.191919191919192,2.0
100,28,9,22,2.212020202020202,2.0
100,29,11,31,2.2044444444444444,2.0
100,30,12,34,2.2213131313131314,2.0
100,31,7,20,2.262020202020202,3.0
100,32,9,26,2.160808080808081,2.0
100,33,9,17,2.256060606060606,2.0
100,34,9,21,2.216161616161616,2.0
100,35,7,21,2.2815151515151517,2.0
100,36,9,17,2.1657575757575755,2.0
100,37,8,23,2.2473737373737372,2.0
100,38,8,25,2.3417171717171716,2.0
100,39,8,25,2.1801010101010103,2.0
100,40,7,19,2.1724242424242424,2.0
100,41,9,23,2.2687878787878786,2.0
100,42,9,29,2.238989898989899,2.0
100,43,8,20,2.3595959595959597,2.0
100,44,9,25,2.31010101010101,2.0
100,45,9,19,2.199292929292929,2.0
100,46,8,22,2.145151515151515,2.0
100,47,10,26,2.121010101010101,2.0
100,48,7,16,2.2145454545454544,2.0
100,49,10,25,2.156767676767677,2.0
100,50,9,23,2.1274747474747473,2.0
100,51,8,24,2.275252525252525,2.0
100,52,8,19,2.038686868686869,2.0
100,53,8,24,2.083131313131313,2.0
100,54,10,26,2.1258585858585857,2.0
100,55,11,28,2.2944444444444443,2.0
100,56,9,23,2.0323232323232325,2.0
100,57,9,22,2.2195959595959596,2.0
100,58,8,23,2.144747474747475,2.0
100,59,8,21,2.1907070707070706,2.0
100,60,8,24,2.1981818181818182,2.0
100,61,8,19,2.313939393939394,2.0
100,62,8,20,2.215757575757576,2.0
100,63,8,16,2.1785858585858584,2.0
100,64,8,25,2.095151515151515,2.0
100,65,9,26,2.3528282828282827,2.0
100,66,9,20,2.2804040404040404,2.0
100,67,9,29,2.1874747474747473,2.0
100,68,8,20,2.2572727272727273,2.0
100,69,8,23,2.0986868686868685,2.0
100,70,10,25,2.256262626262626,2.0
100,71,9,20,2.2005050505050505,2.0
100,72,10,26,2.33030303030303,2.0
100,73,8,23,2.2074747474747474,2.0
100,74,8,21,2.185151515151515,2.0
100,75,9,30,2.113030303030303,2.0
100,76,11,34,2.235959595959596,2.0
100,77,10,27,2.2959595959595958,2.0
100,78,8,22,2.2956565656565657,2.0
100,79,8,18,2.2608080808080806,2.0
100,80,8,28,2.0915151515151513,2.0
100,81,8,19,2.208282828282828,2.0
100,82,11,29,2.183333333333333,2.0
100,83,10,32,2.276969696969697,2.0
100,84,9,24,2.0393939393939395,2.0
100,85,8,22,2.1831313131313133,2.0
100,86,8,21,2.247777777777778,2.0
100,87,9,23,2.1382828282828283,2.0
100,88,7,15,2.056868686868687,2.0
100,89,8,18,2.2320202020202022,2.0
100,90,9,26,2.3215151515151513,2.0
100,91,11,29,2.3092929292929294,2.0
100,92,8,24,2.163030303030303,2.0
100,93,7,19,2.0316161616161614,2.0
100,94,8,21,2.2074747474747474,2.0
100,95,9,22,2.2526262626262628,2.0
