N,Case,BDS Size,SCBDS Size,ARPL,Max Ratio
100,1,10,41,2.1493939393939394,2.0
100,2,9,38,2.2593939393939393,2.0
100,3,8,36,2.186060606060606,2.0
100,4,7,25,2.2264646464646463,2.0
100,5,9,34,2.0985858585858588,2.0
100,6,8,29,2.23979797979798,2.0
100,7,8,34,2.13979797979798,2.0
100,8,9,35,2.1265656565656568,2.0
100,9,8,32,2.2453535353535354,2.0
100,10,7,27,2.308686868686869,2.0
100,11,8,37,2.118585858585859,2.0
100,12,9,35,2.188787878787879,2.0
100,13,10,44,2.1174747474747475,2.0
100,14,9,34,2.127070707070707,2.0
100,15,10,48,2.1015151515151516,2.0
100,16,8,30,2.163030303030303,2.0
100,17,7,31,2.1924242424242424,2.0
100,18,8,29,2.26989898989899,2.0
100,19,9,44,2.1145454545454547,2.0
100,20,9,24,2.1321212121212123,2.0
100,21,7,26,2.096767676767677,2.0
100,22,7,39,2.25,3.0
100,23,9,39,2.188989898989899,2.0
100,24,9,45,2.211818181818182,2.0
100,25,8,35,2.1357575757575757,2.0
100,26,9,30,2.2305050505050503,2.0
100,27,9,36,2.1795959595959595,2.0
100,28,9,37,2.1844444444444444,2.0
100,29,11,44,2.1840404040404042,2.0
100,30,12,59,2.1795959595959595,2.0
100,31,7,29,2.2434343434343433,3.0
100,32,9,35,2.1535353535353536,2.0
100,33,9,36,2.226868686868687,2.0
100,34,9,33,2.2057575757575756,2.0
100,35,7,30,2.255858585858586,2.0
100,36,9,31,2.1505050505050507,2.0
100,37,8,35,2.2328282828282826,2.0
100,38,8,36,2.3132323232323233,2.0
100,39,8,37,2.1624242424242426,2.0
100,40,7,30,2.153636363636364,2.0
100,41,9,37,2.241111111111111,2.0
100,42,9,41,2.222929292929293,2.0
100,43,8,25,2.3546464646464647,2.0
100,44,9,37,2.2814141414141416,2.0
100,45,9,30,2.183838383838384,2.0
100,46,8,38,2.124343434343434,2.0
100,47,10,45,2.0995959595959595,2.0
100,48,7,25,2.2055555555555557,2.0
100,49,10,38,2.137676767676768,2.0
100,50,9,35,2.112222222222222,2.0
100,51,8,43,2.2383838383838386,2.0
100,52,8,29,2.0286868686868686,2.0
100,53,8,34,2.0704040404040405,2.0
100,54,10,38,2.1036363636363635,2.0
100,55,11,42,2.2693939393939395,2.0
100,56,9,36,2.0165656565656565,2.0
100,57,9,32,2.2004040404040404,2.0
100,58,8,36,2.118888888888889,2.0
100,59,8,34,2.1785858585858584,2.0
100,60,8,32,2.1778787878787877,2.0
100,61,8,30,2.2941414141414143,2.0
100,62,8,36,2.194040404040404,2.0
100,63,8,31,2.164040404040404,2.0
100,64,8,29,2.0912121212121213,2.0
100,65,9,40,2.332020202020202,2.0
100,66,9,39,2.2414141414141415,2.0
100,67,9,39,2.1715151515151514,2.0
100,68,8,35,2.223838383838384,2.0
100,69,8,36,2.0827272727272725,2.0
100,70,10,42,2.234949494949495,2.0
100,71,9,38,2.1777777777777776,2.0
100,72,10,42,2.2924242424242425,2.0
100,73,8,34,2.188282828282828,2.0
100,74,8,32,2.175858585858586,2.0
100,75,9,38,2.1044444444444443,2.0
100,76,11,53,2.1981818181818182,2.0
100,77,10,46,2.2625252525252524,2.0
100,78,8,32,2.2759595959595957,2.0
100,79,8,34,2.2403030303030302,2.0
100,80,8,38,2.071818181818182,2.0
100,81,8,37,2.1867676767676767,2.0
100,82,11,53,2.1574747474747475,2.0
100,83,10,41,2.2667676767676768,2.0
100,84,9,33,2.0316161616161614,2.0
100,85,8,33,2.16969696969697,2.0
100,86,8,37,2.2246464646464648,2.0
100,87,9,42,2.114141414141414,2.0
100,88,7,25,2.048989898989899,2.0
100,89,8,28,2.2129292929292927,2.0
100,90,9,36,2.3052525252525253,2.0
100,91,11,48,2.271010101010101,2.0
100,92,8,35,2.144242424242424,2.0
100,93,7,34,2.0042424242424244,2.0
100,94,8,38,2.178989898989899,2.0
100,95,9,34,2.2226262626262625,2.0
100,96,8,35,2.106161616161616,2.0
100,97,9,40,2.3497979797979798,2.0
100,98,7,32,2.1604040404040403,2.0
100,99,9,31,2.2231313131313133,2.0
100,100,10,51,2.1161616161616164,2.0
150,1,11,56,2.1219686800894855,2.0
150,2,8,32,2.2547203579418342,2.0
150,3,10,46,2.2061744966442953,2.0
150,4,8,36,2.1940939597315436,2.0
150,5,8,33,2.1120805369127518,2.0
150,6,9,47,2.0481431767337805,2.0
150,7,10,47,2.127829977628635,2.0
150,8,9,36,2.189261744966443,2.0
150,9,9,38,2.0382102908277404,2.0
150,10,10,41,2.2287248322147653,2.0
150,11,9,49,2.1643847874720357,2.0
150,12,8,37,2.1463534675615215,2.0
150,13,9,40,2.141923937360179,2.0
150,14,9,44,2.201565995525727,2.0
150,15,7,31,2.1059955257270695,2.0
150,16,10,50,2.103489932885906,2.0
150,17,8,36,2.208456375838926,2.0
150,18,9,47,2.11668903803132,2.0
150,19,9,35,2.1530648769574943,2.0
150,20,9,54,2.194765100671141,2.0
150,21,9,44,2.1676510067114094,2.0
150,22,9,48,2.161744966442953,2.0
150,23,12,58,2.146040268456376,2.0
150,24,10,48,2.1782102908277405,2.0
150,25,9,35,2.141565995525727,2.0
150,26,9,41,2.1855928411633108,2.0
150,27,11,49,2.126263982102908,2.0
150,28,8,33,2.1054586129753914,2.0
150,29,10,47,2.1798657718120804,2.0
150,30,10,55,2.2089485458612974,2.0
150,31,10,47,2.1311409395973153,2.0
150,32,8,27,2.115749440715884,2.0
150,33,10,50,2.1714988814317673,2.0
150,34,9,44,2.0991946308724834,2.0
150,35,9,41,2.134988814317673,2.0
150,36,8,37,2.1567337807606264,3.0
150,37,10,46,2.195838926174497,2.0
150,38,10,45,2.247337807606264,2.0
150,39,9,38,2.241923937360179,2.0
150,40,8,35,2.1167337807606263,2.0
150,41,10,46,2.19923937360179,2.0
150,42,10,49,2.150469798657718,2.0
150,43,8,31,2.1687695749440716,2.0
150,44,8,37,2.107874720357942,2.0
150,45,9,35,2.0668456375838926,2.0
150,46,9,44,2.2595078299776286,2.0
150,47,8,36,2.149530201342282,2.0
150,48,8,31,2.160671140939597,2.0
150,49,11,48,2.134228187919463,2.0
150,50,10,48,2.146532438478747,2.0
150,51,11,51,2.222863534675615,2.0
150,52,9,45,1.9675615212527964,2.0
150,53,10,42,2.134049217002237,2.0
150,54,10,47,2.1734675615212526,2.0
150,55,10,41,2.168545861297539,2.0
150,56,8,36,2.0476510067114093,2.0
150,57,9,43,2.2403131991051453,2.0
150,58,8,34,2.2497091722595077,2.0
150,59,9,45,2.134988814317673,2.0
150,60,9,49,2.2143624161073827,2.0
150,61,8,28,2.1115436241610737,2.0
150,62,9,40,2.0837136465324386,2.0
150,63,10,51,2.129530201342282,2.0
150,64,12,52,2.142997762863535,2.0
150,65,9,44,2.1256375838926176,2.0
150,66,10,44,2.179552572706935,2.0
150,67,9,50,2.1523937360178973,2.0
150,68,8,35,2.177181208053691,2.0
150,69,9,39,2.216912751677852,2.0
150,70,9,33,2.1361521252796423,2.0
150,71,10,49,2.1733333333333333,2.0
150,72,7,30,2.198165548098434,2.0
150,73,10,43,2.1262192393736017,2.0
150,74,9,39,2.1162863534675616,2.0
