N,Case,BDS Size,SCBDS Size,ARPL,Max Ratio
100,1,18,73,3.38989898989899,2.0
100,2,19,76,3.594141414141414,2.0
100,3,18,71,3.83979797979798,2.0
100,4,17,69,3.2174747474747476,2.0
100,5,17,65,3.7103030303030304,2.0
100,6,20,71,3.9718181818181817,2.0
100,7,18,72,3.3345454545454545,3.0
100,8,18,74,3.5736363636363637,2.0
100,9,15,61,3.5506060606060608,2.0
100,10,19,76,3.4163636363636365,2.0
100,11,18,75,3.375151515151515,2.0
100,12,18,79,3.3065656565656565,3.0
100,13,16,64,3.3962626262626263,3.0
100,14,20,73,3.882222222222222,2.0
100,15,17,75,3.521313131313131,3.0
100,16,18,77,3.456161616161616,2.0
100,17,21,71,3.3594949494949495,2.0
100,18,23,78,3.7096969696969695,2.0
100,19,16,68,3.552323232323232,2.0
100,20,17,70,3.5096969696969698,3.0
100,21,20,80,3.5167676767676768,2.0
100,22,18,69,3.8974747474747473,2.0
100,23,18,69,3.4957575757575756,3.0
100,24,17,69,3.593737373737374,2.0
100,25,17,70,3.488080808080808,2.0
100,26,15,59,3.4927272727272727,3.0
100,27,17,75,3.552323232323232,2.0
100,28,19,79,3.288989898989899,2.0
100,29,17,68,3.328080808080808,2.0
100,30,19,69,3.6697979797979796,2.0
100,31,19,77,3.73979797979798,2.0
100,32,16,61,3.3053535353535355,2.0
100,33,18,72,3.6075757575757574,3.0
100,34,18,75,3.3716161616161617,2.0
100,35,19,68,3.4584848484848485,2.0
100,36,18,80,3.3724242424242425,2.0
100,37,19,73,3.915050505050505,2.0
100,38,18,66,3.9163636363636365,3.0
100,39,17,67,3.2645454545454546,5.0
100,40,18,75,3.366868686868687,2.0
100,41,19,70,3.507070707070707,2.0
100,42,19,75,3.428888888888889,3.0
100,43,18,78,3.2715151515151515,2.0
100,44,19,70,3.9125252525252527,2.0
100,45,18,75,3.2615151515151517,2.0
100,46,20,78,3.7662626262626264,2.0
100,47,18,64,3.8466666666666667,2.0
100,48,18,73,3.395656565656566,2.0
100,49,17,75,3.4445454545454544,2.0
100,50,17,73,3.4176767676767676,2.0
100,51,15,71,3.5411111111111113,2.0
100,52,17,71,3.755858585858586,2.0
100,53,17,66,4.009292929292929,3.0
100,54,18,73,3.3916161616161618,2.0
100,55,19,74,3.2836363636363637,2.0
100,56,19,84,3.480808080808081,2.0
100,57,18,76,3.3652525252525254,2.0
100,58,20,74,3.6454545454545455,3.0
100,59,17,66,3.3614141414141416,3.0
