N,Case,BDS Size,SCBDS Size,ARPL,Max Ratio
100,1,18,51,3.4483838383838386,2.0
100,2,19,59,3.646161616161616,2.0
100,3,18,54,3.8821212121212123,2.0
100,4,17,50,3.2805050505050506,2.0
100,5,17,45,3.7609090909090908,2.0
100,6,20,57,4.013535353535354,2.0
100,7,18,58,3.3657575757575757,3.0
100,8,18,58,3.6062626262626263,2.0
100,9,15,44,3.6034343434343437,2.0
100,10,19,52,3.4844444444444442,3.0
100,11,18,50,3.442828282828283,3.0
100,12,18,56,3.3825252525252525,4.0
100,13,16,50,3.4549494949494948,3.0
100,14,20,54,3.928989898989899,3.0
100,15,17,56,3.6036363636363635,3.0
100,16,18,60,3.4965656565656564,3.0
100,17,21,57,3.38989898989899,2.0
100,18,23,61,3.7670707070707072,3.0
100,19,16,50,3.6095959595959597,2.0
100,20,17,50,3.5674747474747477,3.0
100,21,20,52,3.610606060606061,3.0
100,22,18,55,3.93989898989899,2.0
100,23,18,51,3.537171717171717,3.0
100,24,17,47,3.684242424242424,2.0
100,25,17,54,3.5344444444444445,2.0
100,26,15,45,3.5272727272727273,3.0
100,27,17,46,3.6121212121212123,2.0
100,28,19,59,3.3513131313131312,2.0
100,29,17,50,3.3516161616161617,3.0
100,30,19,51,3.7195959595959596,2.0
100,31,19,51,3.8003030303030303,2.0
100,32,16,42,3.3496969696969696,2.0
100,33,18,58,3.6347474747474746,3.0
100,34,18,58,3.4277777777777776,3.0
100,35,19,53,3.4915151515151517,2.0
100,36,18,56,3.4486868686868686,3.0
100,37,19,56,3.9735353535353535,2.0
100,38,18,49,3.9856565656565657,3.0
100,39,17,46,3.3174747474747477,5.0
100,40,18,52,3.414848484848485,2.0
100,41,19,56,3.5211111111111113,2.0
100,42,19,52,3.522121212121212,3.0
100,43,18,59,3.316666666666667,2.0
100,44,19,55,3.9306060606060607,2.0
100,45,18,53,3.334343434343434,2.0
100,46,20,63,3.8386868686868687,3.0
100,47,18,44,3.9327272727272726,2.0
100,48,18,59,3.4238383838383837,3.0
100,49,17,56,3.4835353535353537,2.0
100,50,17,50,3.4690909090909092,2.0
100,51,15,53,3.606969696969697,3.0
100,52,17,50,3.818787878787879,2.0
100,53,17,52,4.08050505050505,3.0
100,54,18,54,3.433333333333333,2.0
100,55,19,59,3.321818181818182,2.0
100,56,19,56,3.5276767676767675,2.0
100,57,18,56,3.415656565656566,2.0
100,58,20,54,3.703939393939394,3.0
100,59,17,53,3.40979797979798,3.0
100,60,17,55,3.2494949494949497,3.0
100,61,17,50,3.8915151515151516,2.0
100,62,19,52,3.5961616161616163,2.0
100,63,21,55,3.963030303030303,2.0
100,64,20,53,3.961010101010101,2.0
100,65,17,54,3.3403030303030303,2.0
100,66,18,49,3.6074747474747473,4.0
100,67,18,51,3.6385858585858584,3.0
100,68,18,53,3.6995959595959595,2.0
100,69,18,56,3.5854545454545454,2.0
100,70,15,49,3.576363636363636,3.0
