N,Case,BDS Size,SCBDS Size,ARPL,Max Ratio
100,1,18,64,3.41020202020202,2.0
100,2,19,66,3.6303030303030304,2.0
100,3,18,65,3.855252525252525,2.0
100,4,17,65,3.229191919191919,2.0
100,5,17,53,3.7532323232323233,2.0
100,6,20,68,3.9826262626262627,2.0
100,7,18,63,3.3608080808080807,3.0
100,8,18,64,3.6103030303030303,2.0
100,9,15,51,3.618181818181818,3.0
100,10,19,68,3.4397979797979796,2.0
100,11,18,64,3.399090909090909,2.0
100,12,18,75,3.323737373737374,3.0
100,13,16,55,3.429090909090909,3.0
100,14,20,68,3.8993939393939394,2.0
100,15,17,68,3.538989898989899,3.0
100,16,18,70,3.473030303030303,2.0
100,17,21,68,3.3633333333333333,2.0
100,18,23,75,3.728686868686869,2.0
100,19,16,67,3.5593939393939396,2.0
100,20,17,60,3.567171717171717,3.0
100,21,20,76,3.5304040404040404,2.0
100,22,18,63,3.929393939393939,2.0
100,23,18,68,3.495959595959596,3.0
100,24,17,62,3.638181818181818,2.0
100,25,17,59,3.542929292929293,2.0
100,26,15,55,3.5025252525252526,3.0
100,27,17,67,3.576969696969697,2.0
100,28,19,67,3.334747474747475,2.0
100,29,17,64,3.331717171717172,2.0
100,30,19,64,3.7014141414141415,2.0
100,31,19,66,3.7665656565656565,2.0
100,32,16,54,3.3253535353535355,2.0
100,33,18,69,3.617070707070707,3.0
100,34,18,69,3.4064646464646464,2.0
100,35,19,65,3.4668686868686867,2.0
100,36,18,66,3.4206060606060604,3.0
100,37,19,70,3.925353535353535,2.0
100,38,18,61,3.945858585858586,3.0
100,39,17,65,3.268080808080808,5.0
100,40,18,68,3.399090909090909,2.0
100,41,19,64,3.514242424242424,2.0
100,42,19,72,3.436161616161616,3.0
100,43,18,72,3.292929292929293,2.0
100,44,19,61,3.9452525252525255,2.0
100,45,18,68,3.2925252525252526,2.0
100,46,20,70,3.8212121212121213,3.0
100,47,18,61,3.859191919191919,3.0
100,48,18,64,3.4165656565656564,3.0
100,49,17,69,3.474747474747475,4.0
100,50,17,64,3.4372727272727275,2.0
100,51,15,64,3.561111111111111,2.0
100,52,17,63,3.777171717171717,2.0
100,53,17,59,4.034646464646465,3.0
100,54,18,66,3.408080808080808,2.0
100,55,19,69,3.2963636363636364,2.0
100,56,19,78,3.4890909090909092,2.0
100,57,18,63,3.4174747474747473,2.0
100,58,20,68,3.6666666666666665,3.0
100,59,17,63,3.372020202020202,3.0
100,60,17,70,3.2123232323232322,3.0
100,61,17,66,3.8265656565656565,2.0
100,62,19,70,3.5521212121212122,2.0
100,63,21,71,3.9244444444444446,2.0
100,64,20,64,3.9332323232323234,2.0
100,65,17,62,3.3325252525252527,2.0
100,66,18,58,3.595151515151515,4.0
100,67,18,63,3.626969696969697,3.0
100,68,18,73,3.658989898989899,2.0
100,69,18,63,3.5961616161616163,2.0
100,70,15,63,3.553838383838384,2.0
100,71,21,72,3.5835353535353534,2.0
100,72,18,68,3.4823232323232323,2.0
100,73,20,72,3.393030303030303,2.0
100,74,18,61,3.4727272727272727,2.0
100,75,14,50,3.692222222222222,2.0
100,76,20,72,3.3666666666666667,2.0
100,77,18,62,3.526666666666667,2.0
100,78,15,51,3.378787878787879,2.0
100,79,15,52,3.4052525252525254,2.0
100,80,18,58,3.7294949494949496,3.0
100,81,17,64,3.406161616161616,3.0
100,82,19,67,3.7266666666666666,3.0
100,83,18,67,3.637272727272727,3.0
100,84,18,72,3.383737373737374,2.0
100,85,16,57,3.5072727272727273,2.0
100,86,19,69,3.5028282828282826,2.0
100,87,16,57,3.649191919191919,3.0
100,88,18,58,3.5364646464646463,2.0
100,89,19,71,3.6151515151515152,2.0
100,90,18,64,3.6646464646464647,2.0
100,91,18,70,3.773939393939394,2.0
100,92,18,61,3.5675757575757574,3.0
100,93,19,62,3.4906060606060607,2.0
100,94,19,71,3.5171717171717174,3.0
100,95,16,70,3.0935353535353536,2.0
100,96,18,66,3.3963636363636365,2.0
100,97,17,66,3.4346464646464647,3.0
100,98,18,69,3.287272727272727,3.0
100,99,18,66,3.353939393939394,2.0
100,100,19,71,3.398181818181818,3.0
150,1,19,81,3.46165548098434,3.0
150,2,18,78,3.4506040268456375,3.0
150,3,18,80,3.650111856823266,2.0
150,4,19,80,3.3933333333333335,3.0
150,5,19,83,3.4032662192393737,2.0
150,6,20,80,3.4527069351230426,2.0
150,7,18,81,3.403937360178971,2.0
150,8,18,80,3.3182997762863535,2.0
150,9,18,90,3.5653691275167785,2.0
150,10,19,88,3.330469798657718,3.0
150,11,19,86,3.1365100671140937,2.0
150,12,20,94,3.471856823266219,2.0
150,13,18,79,3.3486800894854585,2.0
150,14,20,86,3.315883668903803,3.0
150,15,19,89,3.098165548098434,2.0
150,16,17,82,3.4141387024608503,3.0
150,17,21,89,3.559463087248322,2.0
150,18,20,90,3.408501118568233,2.0
150,19,19,83,3.333870246085011,2.0
150,20,20,88,3.4006711409395973,2.0
150,21,19,80,3.432841163310962,2.0
150,22,21,85,3.4718120805369126,2.0
150,23,18,86,3.38331096196868,2.0
150,24,21,94,3.1505592841163312,2.0
150,25,18,80,3.3375838926174497,3.0
150,26,19,81,3.241923937360179,2.0
150,27,17,70,3.347337807606264,2.0
150,28,19,87,3.375212527964206,2.0
150,29,22,101,3.371767337807606,3.0
150,30,21,88,3.414093959731544,2.0
150,31,20,87,3.3171812080536913,3.0
150,32,19,76,3.3567337807606266,2.0
150,33,18,86,3.35413870246085,2.0
