N,Case,BDS Size,SCBDS Size,ARPL,Max Ratio
100,1,10,47,2.3144444444444443,2.0
100,2,8,37,2.4337373737373738,2.0
100,3,9,51,2.3645454545454547,2.0
100,4,8,45,2.4334343434343433,2.0
100,5,8,36,2.3368686868686868,2.0
100,6,8,35,2.342828282828283,2.0
100,7,8,34,2.255858585858586,2.0
100,8,10,54,2.29979797979798,2.0
100,9,8,35,2.371212121212121,2.0
100,10,10,48,2.4794949494949496,2.0
100,11,10,49,2.463636363636364,2.0
100,12,10,44,2.2195959595959596,2.0
100,13,11,48,2.2714141414141413,2.0
100,14,10,45,2.4274747474747476,2.0
100,15,8,41,2.2582828282828284,2.0
100,16,11,56,2.3315151515151515,2.0
100,17,11,54,2.276969696969697,2.0
100,18,10,50,2.306363636363636,2.0
100,19,9,39,2.4593939393939395,2.0
100,20,9,56,2.4180808080808083,2.0
100,21,9,52,2.2933333333333334,2.0
100,22,10,44,2.3114141414141414,2.0
100,23,9,41,2.345858585858586,2.0
100,24,10,44,2.367676767676768,2.0
100,25,8,42,2.244646464646465,2.0
100,26,10,47,2.3901010101010103,2.0
100,27,10,49,2.3455555555555554,2.0
100,28,9,39,2.30989898989899,2.0
100,29,9,38,2.3185858585858585,2.0
100,30,10,48,2.382020202020202,2.0
100,31,9,42,2.348080808080808,2.0
100,32,10,47,2.3793939393939394,2.0
100,33,9,42,2.2609090909090908,2.0
100,34,10,49,2.3323232323232324,2.0
100,35,9,46,2.38979797979798,2.0
100,36,10,48,2.3794949494949496,2.0
100,37,9,42,2.466262626262626,2.0
100,38,9,39,2.3076767676767678,2.0
100,39,9,43,2.360909090909091,2.0
100,40,7,30,2.2884848484848486,2.0
100,41,8,38,2.33,2.0
100,42,9,39,2.32020202020202,2.0
100,43,9,37,2.389393939393939,2.0
100,44,10,43,2.4723232323232325,2.0
100,45,8,45,2.2609090909090908,2.0
100,46,9,33,2.1822222222222223,2.0
100,47,8,41,2.3857575757575757,2.0
100,48,9,41,2.511111111111111,2.0
100,49,9,46,2.4336363636363636,2.0
100,50,9,45,2.3644444444444446,2.0
100,51,9,36,2.3806060606060604,2.0
100,52,9,46,2.3455555555555554,3.0
100,53,9,46,2.2835353535353535,2.0
100,54,9,39,2.3603030303030303,2.0
100,55,10,45,2.28010101010101,2.0
100,56,9,38,2.286363636363636,2.0
100,57,11,55,2.313030303030303,2.0
100,58,9,40,2.2502020202020203,2.0
100,59,10,37,2.5014141414141413,2.0
100,60,9,51,2.270909090909091,2.0
100,61,8,35,2.3436363636363637,2.0
100,62,12,50,2.4606060606060605,2.0
100,63,7,35,2.3383838383838382,2.0
100,64,9,41,2.4105050505050505,2.0
100,65,8,40,2.433333333333333,2.0
100,66,9,46,2.4868686868686867,2.0
100,67,9,42,2.3615151515151513,2.0
100,68,7,35,2.3215151515151513,2.0
100,69,10,50,2.3875757575757577,2.0
100,70,9,44,2.391717171717172,2.0
100,71,11,52,2.3176767676767676,2.0
100,72,9,42,2.2541414141414142,2.0
100,73,7,33,2.284949494949495,2.0
100,74,9,40,2.1497979797979796,2.0
100,75,10,48,2.3334343434343436,2.0
100,76,8,40,2.339292929292929,2.0
100,77,10,48,2.3704040404040403,2.0
100,78,10,51,2.3484848484848486,2.0
100,79,10,52,2.4243434343434345,2.0
100,80,8,38,2.4012121212121214,2.0
100,81,8,36,2.3507070707070707,2.0
100,82,8,37,2.531919191919192,2.0
100,83,10,42,2.3798989898989897,2.0
100,84,9,44,2.4317171717171715,2.0
100,85,9,38,2.38010101010101,2.0
100,86,8,29,2.3261616161616163,2.0
100,87,8,35,2.379191919191919,2.0
100,88,9,39,2.286969696969697,2.0
100,89,9,42,2.3715151515151516,2.0
100,90,9,45,2.3224242424242423,2.0
100,91,7,31,2.3395959595959597,2.0
100,92,9,37,2.3275757575757576,2.0
100,93,9,42,2.399191919191919,2.0
100,94,9,45,2.4114141414141415,2.0
100,95,9,49,2.3135353535353533,2.0
100,96,9,48,2.3227272727272728,2.0
100,97,9,44,2.3501010101010102,2.0
100,98,8,42,2.336161616161616,2.0
100,99,11,55,2.398181818181818,2.0
100,100,9,43,2.243838383838384,2.0
150,1,11,65,2.217897091722595,2.0
150,2,8,49,2.2919910514541386,2.0
150,3,10,51,2.3472035794183443,2.0
150,4,10,61,2.31834451901566,2.0
150,5,10,48,2.2736912751677854,2.0
150,6,11,55,2.3128859060402687,2.0
150,7,8,40,2.338926174496644,2.0
150,8,10,52,2.354675615212528,2.0
150,9,9,48,2.306979865771812,2.0
