N,Case,BDS Size,SCBDS Size,ARPL,Max Ratio
100,1,10,33,2.338080808080808,2.0
100,2,8,27,2.4433333333333334,2.0
100,3,9,34,2.3983838383838383,2.0
100,4,8,25,2.4823232323232323,2.0
100,5,8,23,2.3644444444444446,2.0
100,6,8,22,2.359090909090909,2.0
100,7,8,23,2.267878787878788,2.0
100,8,10,29,2.3544444444444443,2.0
100,9,8,22,2.386262626262626,2.0
100,10,10,30,2.5095959595959596,2.0
100,11,10,30,2.496969696969697,2.0
100,12,10,24,2.25010101010101,2.0
100,13,11,33,2.2865656565656565,2.0
100,14,10,32,2.4447474747474747,2.0
100,15,8,27,2.274848484848485,2.0
100,16,11,33,2.3736363636363635,2.0
100,17,11,32,2.304949494949495,2.0
100,18,10,38,2.3208080808080807,2.0
100,19,9,25,2.485959595959596,2.0
100,20,9,34,2.4665656565656566,2.0
100,21,9,31,2.3154545454545454,2.0
100,22,10,26,2.344040404040404,2.0
100,23,9,25,2.3638383838383836,2.0
100,24,10,29,2.4004040404040405,2.0
100,25,8,23,2.2648484848484847,2.0
100,26,10,31,2.4154545454545455,2.0
100,27,10,27,2.377979797979798,2.0
100,28,9,25,2.336060606060606,2.0
100,29,9,21,2.3345454545454545,2.0
100,30,10,31,2.418989898989899,2.0
100,31,9,23,2.37030303030303,2.0
100,32,10,32,2.4063636363636363,2.0
100,33,9,28,2.2777777777777777,2.0
100,34,10,31,2.353838383838384,2.0
100,35,9,28,2.417777777777778,2.0
100,36,10,32,2.4095959595959595,2.0
100,37,9,31,2.4833333333333334,3.0
100,38,9,28,2.3230303030303032,2.0
100,39,9,29,2.386262626262626,2.0
100,40,7,20,2.2959595959595958,2.0
100,41,8,22,2.346060606060606,2.0
100,42,9,25,2.3376767676767676,2.0
100,43,9,29,2.4143434343434342,2.0
100,44,10,28,2.4973737373737372,2.0
100,45,8,18,2.2911111111111113,2.0
100,46,9,19,2.201919191919192,2.0
100,47,8,28,2.4137373737373737,2.0
100,48,9,24,2.551919191919192,2.0
