N,Case,BDS Size,SCBDS Size,ARPL,Max Ratio
100,1,21,51,4.6983838383838386,2.0
100,2,17,48,4.36969696969697,2.0
100,3,17,54,4.043333333333333,2.0
100,4,20,52,4.776767676767677,2.0
100,5,21,60,4.11040404040404,3.0
100,6,20,57,4.13959595959596,3.0
100,7,21,56,4.311717171717172,3.0
100,8,16,46,4.4547474747474745,2.0
100,9,19,54,4.331414141414141,2.0
100,10,21,63,4.22020202020202,2.0
100,11,18,48,3.929393939393939,2.0
100,12,19,61,4.03060606060606,2.0
100,13,17,47,4.1153535353535355,2.0
100,14,20,52,4.045555555555556,2.0
100,15,22,53,4.38050505050505,3.0
100,16,19,57,4.238282828282828,3.0
100,17,18,51,3.835757575757576,2.0
100,18,18,60,3.9123232323232324,2.0
100,19,19,57,4.058181818181819,2.0
100,20,19,50,4.322323232323233,4.0
100,21,19,51,3.918787878787879,2.0
100,22,19,46,4.1737373737373735,2.0
100,23,16,48,3.979191919191919,3.0
100,24,17,52,4.11969696969697,2.0
100,25,20,60,3.8734343434343432,3.0
100,26,15,40,4.231414141414142,2.0
100,27,15,52,4.011212121212121,2.0
100,28,17,53,4.386363636363637,2.0
100,29,19,57,4.368585858585859,3.0
100,30,19,51,4.181111111111111,4.0
100,31,18,47,4.077676767676768,3.0
100,32,18,48,4.082828282828283,3.0
100,33,20,55,4.117575757575757,2.0
100,34,19,48,4.335656565656565,2.0
100,35,18,54,4.009292929292929,2.0
100,36,17,47,4.058383838383838,2.0
100,37,20,59,4.247979797979798,2.0
100,38,19,46,4.132121212121212,2.0
100,39,16,46,4.186868686868687,3.0
100,40,21,56,4.373535353535353,2.0
100,41,20,58,3.8644444444444446,3.0
100,42,20,52,4.294343434343435,2.0
100,43,18,53,4.211414141414141,3.0
100,44,19,59,4.021717171717172,2.0
100,45,19,54,4.151212121212121,3.0
100,46,17,45,5.434343434343434,2.0
100,47,20,54,4.081414141414141,2.0
100,48,20,53,4.066666666666666,4.0
100,49,20,59,4.48949494949495,2.0
100,50,19,55,3.9077777777777776,2.0
100,51,18,49,4.476767676767677,2.0
100,52,23,60,4.4372727272727275,2.0
100,53,19,51,4.073535353535354,3.0
100,54,18,50,4.1066666666666665,2.0
100,55,18,48,4.515858585858586,2.0
100,56,17,46,4.137272727272728,2.0
100,57,19,45,4.685555555555555,2.0
100,58,20,57,3.662020202020202,3.0
100,59,18,50,4.246060606060606,3.0
100,60,17,49,4.001919191919192,2.0
100,61,20,58,4.20989898989899,2.0
100,62,18,49,4.6617171717171715,2.0
100,63,21,57,4.307979797979798,3.0
100,64,18,49,4.553939393939394,2.0
100,65,20,62,4.27959595959596,2.0
100,66,18,51,3.6693939393939394,2.0
100,67,19,57,4.359696969696969,2.0
100,68,21,57,4.008181818181818,3.0
100,69,18,53,4.027171717171717,2.0
100,70,20,56,3.773939393939394,3.0
100,71,21,58,4.18959595959596,2.0
100,72,20,62,4.27989898989899,2.0
100,73,18,54,4.316565656565657,4.0
100,74,18,59,4.210606060606061,2.0
100,75,18,45,3.8056565656565655,2.0
100,76,17,47,3.851818181818182,2.0
100,77,18,51,4.166363636363636,2.0
100,78,18,47,4.829191919191919,3.0
100,79,19,57,4.06070707070707,3.0
100,80,20,53,4.003737373737374,3.0
100,81,23,62,4.032424242424242,3.0
100,82,18,57,4.16919191919192,4.0
100,83,18,49,4.51070707070707,3.0
100,84,18,51,4.385656565656566,3.0
100,85,20,56,3.77010101010101,3.0
100,86,21,60,4.114949494949495,2.0
100,87,20,50,4.326767676767677,2.0
100,88,16,52,3.824242424242424,3.0
100,89,18,51,4.058989898989899,3.0
100,90,17,48,3.9052525252525254,3.0
100,91,18,49,3.992929292929293,4.0
100,92,20,52,4.368585858585859,2.0
100,93,21,62,4.100909090909091,2.0
100,94,21,57,4.254444444444444,2.0
100,95,19,54,3.8167676767676766,2.0
100,96,20,56,4.0067676767676765,2.0
100,97,20,56,4.065858585858586,2.0
100,98,20,60,4.108484848484848,2.0
