N,Case,BDS Size,SCBDS Size,ARPL,Max Ratio
100,1,21,64,4.655454545454545,2.0
100,2,17,59,4.3846464646464645,2.0
100,3,17,64,4.02040404040404,2.0
100,4,20,63,4.732323232323233,2.0
100,5,21,72,4.033030303030303,2.0
100,6,20,72,4.103737373737374,2.0
100,7,21,67,4.2570707070707074,2.0
100,8,16,56,4.435656565656566,2.0
100,9,19,62,4.276868686868687,2.0
100,10,21,72,4.2140404040404045,2.0
100,11,18,64,3.9075757575757577,2.0
100,12,19,70,4.004848484848485,2.0
100,13,17,60,4.1012121212121215,2.0
100,14,20,62,4.03969696969697,2.0
100,15,22,60,4.357171717171717,3.0
100,16,19,62,4.242727272727273,3.0
100,17,18,62,3.802323232323232,2.0
100,18,18,66,3.899090909090909,2.0
100,19,19,72,4.039595959595959,2.0
100,20,19,67,4.247575757575758,2.0
100,21,19,61,3.888080808080808,2.0
100,22,19,59,4.146767676767677,2.0
100,23,16,59,3.9322222222222223,3.0
100,24,17,60,4.110505050505051,2.0
100,25,20,69,3.8562626262626263,3.0
100,26,15,48,4.20010101010101,2.0
100,27,15,60,3.9314141414141415,2.0
100,28,17,64,4.335555555555556,2.0
100,29,19,65,4.3524242424242425,2.0
100,30,19,67,4.121111111111111,2.0
100,31,18,61,4.017171717171717,2.0
100,32,18,65,4.0504040404040405,2.0
100,33,20,67,4.077575757575757,2.0
100,34,19,59,4.304646464646464,2.0
100,35,18,66,3.9725252525252523,2.0
100,36,17,67,4.008484848484849,2.0
100,37,20,68,4.242525252525253,2.0
100,38,19,61,4.101515151515152,2.0
100,39,16,57,4.164242424242424,3.0
100,40,21,71,4.314646464646465,2.0
100,41,20,71,3.8448484848484847,3.0
100,42,20,68,4.264343434343434,2.0
100,43,18,63,4.140909090909091,3.0
100,44,19,72,3.9906060606060607,2.0
100,45,19,62,4.1195959595959595,3.0
100,46,17,52,5.427777777777778,2.0
100,47,20,67,4.057676767676767,2.0
100,48,20,71,4.004040404040404,4.0
100,49,20,66,4.474444444444444,2.0
100,50,19,72,3.8345454545454545,2.0
100,51,18,63,4.434040404040404,2.0
100,52,23,69,4.374444444444444,2.0
100,53,19,62,4.061111111111111,3.0
100,54,18,65,4.047474747474747,2.0
100,55,18,60,4.491010101010101,2.0
100,56,17,52,4.127474747474747,2.0
100,57,19,60,4.584040404040404,2.0
100,58,20,70,3.644343434343434,3.0
100,59,18,65,4.189494949494949,3.0
100,60,17,61,3.9675757575757578,2.0
100,61,20,69,4.1758585858585855,2.0
100,62,18,60,4.626060606060606,2.0
100,63,21,68,4.264040404040404,2.0
