N,Case,BDS Size,SCBDS Size,ARPL,Max Ratio
100,1,21,52,4.687979797979798,2.0
100,2,17,51,4.3665656565656565,2.0
100,3,17,53,4.043131313131313,2.0
100,4,20,54,4.747474747474747,2.0
100,5,21,64,4.054646464646464,2.0
100,6,20,61,4.124040404040404,3.0
100,7,21,62,4.257777777777778,2.0
100,8,16,48,4.45060606060606,2.0
100,9,19,54,4.297575757575758,2.0
100,10,21,65,4.211212121212121,2.0
100,11,18,56,3.8728282828282827,2.0
100,12,19,65,4.023131313131313,2.0
100,13,17,49,4.099090909090909,2.0
100,14,20,59,4.028282828282828,2.0
100,15,22,53,4.37989898989899,2.0
100,16,19,59,4.2176767676767675,3.0
100,17,18,57,3.797878787878788,2.0
100,18,18,61,3.907070707070707,2.0
100,19,19,63,4.027979797979798,2.0
100,20,19,52,4.30010101010101,4.0
100,21,19,55,3.90010101010101,2.0
100,22,19,49,4.165858585858586,2.0
100,23,16,48,3.9515151515151516,3.0
100,24,17,56,4.11,2.0
100,25,20,60,3.874343434343434,3.0
100,26,15,45,4.222626262626263,2.0
100,27,15,50,3.9603030303030304,2.0
100,28,17,58,4.332929292929293,2.0
100,29,19,59,4.342323232323232,3.0
100,30,19,57,4.133636363636364,2.0
100,31,18,55,4.013737373737373,3.0
100,32,18,53,4.057676767676767,3.0
100,33,20,59,4.0928282828282825,2.0
100,34,19,51,4.3093939393939396,2.0
100,35,18,61,3.984040404040404,2.0
100,36,17,53,4.033636363636363,2.0
100,37,20,55,4.254040404040404,2.0
100,38,19,51,4.11949494949495,2.0
100,39,16,52,4.1605050505050505,3.0
100,40,21,62,4.340808080808081,2.0
100,41,20,64,3.8336363636363635,3.0
100,42,20,58,4.273131313131313,2.0
100,43,18,59,4.145858585858586,3.0
100,44,19,60,4.0085858585858585,2.0
100,45,19,55,4.125555555555556,3.0
100,46,17,44,5.434343434343434,2.0
100,47,20,55,4.0741414141414145,2.0
100,48,20,56,4.037575757575757,4.0
100,49,20,61,4.492222222222222,2.0
100,50,19,58,3.887676767676768,2.0
100,51,18,51,4.451919191919192,2.0
100,52,23,65,4.365757575757576,2.0
100,53,19,59,4.066060606060606,3.0
100,54,18,56,4.084343434343435,2.0
100,55,18,53,4.504848484848485,2.0
100,56,17,50,4.1183838383838385,2.0
100,57,19,48,4.60989898989899,2.0
100,58,20,55,3.6663636363636365,3.0
100,59,18,56,4.202828282828283,3.0
100,60,17,54,3.982222222222222,2.0
100,61,20,62,4.181717171717172,2.0
100,62,18,54,4.634444444444444,2.0
100,63,21,57,4.3115151515151515,3.0
100,64,18,52,4.552222222222222,2.0
100,65,20,63,4.235252525252525,2.0
100,66,18,52,3.6756565656565656,2.0
100,67,19,57,4.3385858585858585,2.0
100,68,21,59,4.006969696969697,3.0
100,69,18,58,3.997070707070707,2.0
100,70,20,54,3.7736363636363635,3.0
100,71,21,59,4.174444444444444,2.0
100,72,20,63,4.27989898989899,2.0
100,73,18,59,4.2976767676767675,4.0
100,74,18,63,4.179090909090909,2.0
100,75,18,47,3.7936363636363635,2.0
100,76,17,48,3.8346464646464646,2.0
100,77,18,57,4.139494949494949,2.0
100,78,18,55,4.6842424242424245,3.0
100,79,19,65,4.011515151515152,3.0
100,80,20,52,4.013131313131313,3.0
100,81,23,67,4.018686868686869,3.0
100,82,18,61,4.1198989898989895,4.0
100,83,18,52,4.468181818181818,3.0
100,84,18,57,4.355959595959596,3.0
100,85,20,60,3.752929292929293,3.0
100,86,21,60,4.1192929292929295,3.0
100,87,20,48,4.3286868686868685,2.0
100,88,16,55,3.8052525252525253,3.0
100,89,18,55,4.036666666666667,3.0
100,90,17,48,3.8848484848484848,3.0
100,91,18,56,3.919090909090909,2.0
100,92,20,52,4.369191919191919,2.0
100,93,21,66,4.0904040404040405,2.0
100,94,21,59,4.244343434343435,2.0
100,95,19,55,3.8039393939393937,2.0
100,96,20,65,3.984848484848485,2.0
100,97,20,62,4.033131313131313,2.0
100,98,20,61,4.098282828282828,2.0
100,99,18,57,3.859090909090909,3.0
100,100,21,66,4.181111111111111,2.0
150,1,19,59,3.7396868008948547,2.0
150,2,23,66,3.827919463087248,3.0
150,3,21,73,3.9303803131991053,2.0
150,4,20,68,3.785055928411633,2.0
150,5,20,67,4.077449664429531,2.0
150,6,22,76,3.606800894854586,2.0
150,7,21,69,3.762371364653244,2.0
150,8,21,71,3.75910514541387,2.0
150,9,22,79,3.685324384787472,2.0
150,10,18,71,3.6098434004474274,3.0
