N,Case,BDS Size,SCBDS Size,ARPL,Max Ratio
100,1,10,36,2.4917171717171716,2.0
100,2,9,24,2.78010101010101,2.0
100,3,9,28,2.6875757575757575,2.0
100,4,9,24,2.636262626262626,2.0
100,5,8,26,2.6446464646464647,2.0
100,6,8,27,2.827171717171717,2.0
100,7,10,27,2.8132323232323233,2.0
100,8,9,23,2.4735353535353535,2.0
100,9,11,32,2.8064646464646463,2.0
100,10,9,26,2.5175757575757576,2.0
100,11,11,30,2.6455555555555557,3.0
100,12,12,35,2.685151515151515,2.0
100,13,8,21,2.4913131313131314,2.0
100,14,11,32,2.6283838383838383,2.0
100,15,11,37,2.516060606060606,2.0
100,16,10,30,2.5374747474747474,2.0
100,17,9,28,2.6142424242424243,2.0
100,18,11,32,2.6857575757575756,2.0
100,19,12,41,2.7643434343434343,2.0
100,20,12,37,2.5446464646464646,2.0
100,21,11,29,2.561111111111111,2.0
100,22,9,25,2.4774747474747474,2.0
100,23,11,38,2.6391919191919193,2.0
100,24,11,31,2.646868686868687,2.0
100,25,11,36,2.6104040404040405,2.0
100,26,9,26,2.426868686868687,2.0
100,27,11,32,2.6506060606060604,2.0
100,28,11,40,2.759292929292929,2.0
100,29,11,42,2.600808080808081,2.0
100,30,11,37,2.6601010101010103,2.0
100,31,12,37,2.7663636363636366,2.0
100,32,9,27,2.7232323232323234,2.0
100,33,10,36,2.6502020202020202,2.0
100,34,9,30,2.5214141414141413,2.0
100,35,9,27,2.6283838383838383,2.0
100,36,9,26,2.6266666666666665,2.0
100,37,9,27,2.4486868686868686,2.0
100,38,10,27,2.588888888888889,2.0
100,39,9,28,2.524040404040404,2.0
100,40,11,34,2.6813131313131313,2.0
100,41,11,29,2.7181818181818183,2.0
100,42,11,33,2.5782828282828283,2.0
100,43,11,32,2.6187878787878787,2.0
100,44,10,28,2.508989898989899,2.0
100,45,10,26,2.759191919191919,2.0
100,46,10,29,2.5323232323232325,2.0
100,47,10,25,2.541717171717172,2.0
100,48,9,27,2.6104040404040405,2.0
100,49,10,28,2.754040404040404,2.0
100,50,10,32,2.6975757575757577,2.0
100,51,12,35,2.5473737373737375,2.0
100,52,8,21,2.5770707070707073,2.0
100,53,10,33,2.6161616161616164,2.0
100,54,12,32,2.6114141414141416,2.0
100,55,9,31,2.6135353535353536,2.0
100,56,10,30,2.6315151515151514,2.0
100,57,11,32,2.6304040404040405,2.0
100,58,10,34,2.589090909090909,2.0
100,59,10,29,2.648181818181818,2.0
100,60,10,25,2.665050505050505,2.0
100,61,10,32,2.595959595959596,2.0
100,62,12,33,2.7596969696969698,2.0
100,63,9,30,2.744040404040404,2.0
100,64,9,26,2.561010101010101,2.0
100,65,11,33,2.70959595959596,2.0
100,66,9,27,2.6264646464646466,2.0
100,67,9,24,2.6297979797979796,2.0
100,68,10,33,2.4776767676767677,2.0
100,69,10,35,2.6002020202020204,2.0
100,70,12,34,2.6315151515151514,2.0
100,71,11,30,2.6028282828282827,2.0
100,72,8,26,2.5490909090909093,2.0
100,73,9,26,2.631919191919192,2.0
100,74,9,30,2.743939393939394,2.0
100,75,10,33,2.471010101010101,2.0
100,76,7,20,2.5354545454545456,2.0
100,77,9,28,2.808080808080808,2.0
100,78,10,29,2.70959595959596,2.0
100,79,8,26,2.5318181818181817,2.0
100,80,9,30,2.5468686868686867,2.0
100,81,10,26,2.6135353535353536,2.0
100,82,11,35,2.5819191919191917,2.0
100,83,8,27,2.502020202020202,2.0
100,84,10,26,2.772020202020202,2.0
100,85,9,29,2.7244444444444444,2.0
100,86,9,25,2.313939393939394,2.0
100,87,11,31,2.615858585858586,2.0
100,88,11,31,2.604848484848485,2.0
100,89,10,24,2.632020202020202,2.0
100,90,11,39,2.5978787878787877,2.0
100,91,10,33,2.569191919191919,2.0
